occ_group,occ
Managers,"Managers, nfd"
Managers,"Chief Executives, General Managers and Legislators"
Managers,Farmers and Farm Managers
Managers,Specialist Managers
Managers,"Hospitality, Retail and Service Managers"
Professionals,"Professionals, nfd"
Professionals,Arts and Media Professionals
Professionals,"Business, Human Resource and Marketing Professionals"
Professionals,"Design, Engineering, Science and Transport Professionals"
Professionals,Education Professionals
Professionals,Health Professionals
Professionals,ICT Professionals
Professionals,"Legal, Social and Welfare Professionals"
Technicians and Trades Workers,"Technicians and Trades Workers, nfd"
Technicians and Trades Workers,"Engineering, ICT and Science Technicians"
Technicians and Trades Workers,Automotive and Engineering Trades Workers
Technicians and Trades Workers,Construction Trades Workers
Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers
Technicians and Trades Workers,Food Trades Workers
Technicians and Trades Workers,Skilled Animal and Horticultural Workers
Technicians and Trades Workers,Other Technicians and Trades Workers
Community and Personal Service Workers,"Community and Personal Service Workers, nfd"
Community and Personal Service Workers,Health and Welfare Support Workers
Community and Personal Service Workers,Carers and Aides
Community and Personal Service Workers,Hospitality Workers
Community and Personal Service Workers,Protective Service Workers
Community and Personal Service Workers,Sports and Personal Service Workers
Clerical and Administrative Workers,"Clerical and Administrative Workers, nfd"
Clerical and Administrative Workers,Office Managers and Program Administrators
Clerical and Administrative Workers,Personal Assistants and Secretaries
Clerical and Administrative Workers,General Clerical Workers
Clerical and Administrative Workers,Inquiry Clerks and Receptionists
Clerical and Administrative Workers,Numerical Clerks
Clerical and Administrative Workers,Clerical and Office Support Workers
Clerical and Administrative Workers,Other Clerical and Administrative Workers
Sales Workers,"Sales Workers, nfd"
Sales Workers,Sales Representatives and Agents
Sales Workers,Sales Assistants and Salespersons
Sales Workers,Sales Support Workers
Sales Workers,"Machinery Operators and Drivers, nfd"
Sales Workers,Machine and Stationary Plant Operators
Sales Workers,Mobile Plant Operators
Sales Workers,Road and Rail Drivers
Sales Workers,Storepersons
Labourers,"Labourers, nfd"
Labourers,Cleaners and Laundry Workers
Labourers,Construction and Mining Labourers
Labourers,Factory Process Workers
Labourers,"Farm, Forestry and Garden Workers"
Labourers,Food Preparation Assistants
Labourers,Other Labourers
NA,Inadequately described
NA,Not stated
NA,Not applicable
NA,NA
